age,experience,education_years,heures_semaine,nb_projets,evaluation_performance,anciennete_entreprise,niveau_education,departement,poste,ville,secteur,taille_entreprise,salaire_annuel
38,5,0,39,3.0,2.9,2,Bac,Marketing,Senior,Paris,Services,Grande Entreprise,95600.0
29,0,1,35,1.0,4.6,0,Bac,Finance,Junior,Paris,Services,ETI,41500.0
25,1,0,37,0.0,4.4,0,Bac,R&D,Junior,Autres,Santé,Grande Entreprise,44300.0
25,1,4,40,3.0,7.4,0,Master,Ventes,Junior,Toulouse,Services,ETI,57100.0
37,5,1,41,7.0,5.0,0,Bac,IT,Senior,Paris,Tech,ETI,128000.0
30,1,2,39,1.0,7.9,0,Licence,Marketing,Junior,Paris,Finance,PME,56500.0
22,0,2,36,2.0,5.5,0,Licence,IT,Junior,Toulouse,Finance,Startup,42300.0
41,1,0,43,2.0,4.7,0,Bac,Finance,Junior,Toulouse,Services,PME,31000.0
44,5,2,40,12.0,6.7,1,Licence,RH,Senior,Autres,Services,ETI,75000.0
36,3,4,37,6.0,7.4,1,Licence,RH,Intermédiaire,Marseille,Finance,ETI,66000.0
34,3,3,47,10.0,7.1,0,Licence,R&D,Manager,Autres,Tech,PME,143800.0
42,2,5,50,2.0,3.6,0,Master,Ventes,Intermédiaire,Paris,Finance,Startup,99100.0
47,9,6,39,4.0,8.5,1,Master,IT,Senior,Paris,Services,Grande Entreprise,200800.0
36,6,0,44,4.0,2.2,1,Bac,Ventes,Senior,Paris,Tech,Startup,91300.0
31,2,6,46,8.0,5.0,0,Master,Ventes,Senior,Toulouse,Industrie,ETI,113800.0
47,3,4,35,12.0,5.8,1,Licence,Marketing,Senior,Autres,Tech,PME,81000.0
32,1,4,40,0.0,6.0,0,Licence,Finance,Junior,Paris,Services,Grande Entreprise,60500.0
23,0,5,39,3.0,5.1,0,Master,R&D,Intermédiaire,Autres,Industrie,PME,57300.0
38,3,7,42,10.0,5.7,1,Doctorat,IT,Manager,Autres,Finance,Grande Entreprise,197300.0
43,0,4,44,1.0,5.7,0,Master,IT,Junior,Autres,Finance,ETI,58400.0
30,4,0,39,4.0,4.6,1,Bac,Ventes,Junior,Autres,Services,Grande Entreprise,46900.0
22,0,2,45,0.0,6.3,0,Licence,Finance,Junior,Autres,Finance,Startup,43700.0
43,0,6,38,,6.0,0,Master,Marketing,Junior,Autres,Services,Startup,35300.0
37,1,5,38,0.0,7.6,0,Master,IT,Junior,Autres,Finance,PME,57700.0
50,7,7,35,5.0,7.2,3,Doctorat,R&D,Senior,Marseille,Services,PME,128700.0
28,3,3,39,3.0,7.5,0,Licence,Finance,Intermédiaire,Paris,Finance,ETI,111100.0
31,1,9,36,2.0,5.6,0,Doctorat,IT,Junior,Toulouse,Services,Grande Entreprise,75100.0
44,4,5,36,0.0,4.9,1,Master,Finance,Junior,Paris,Finance,ETI,100300.0
39,12,5,35,6.0,7.2,5,Master,Marketing,Senior,Autres,Tech,Startup,148000.0
44,5,6,35,6.0,6.0,1,Master,RH,Senior,Lyon,Finance,Startup,113000.0
32,1,6,38,6.0,4.3,0,Master,IT,Intermédiaire,Lyon,Industrie,Startup,68200.0
36,8,9,41,6.0,9.3,2,Doctorat,Ventes,Intermédiaire,Toulouse,Finance,Grande Entreprise,166400.0
41,3,4,42,1.0,3.6,0,Licence,IT,Junior,Lyon,Finance,Grande Entreprise,65400.0
33,2,6,39,5.0,7.1,0,Master,RH,Intermédiaire,Lyon,Santé,PME,64000.0
42,3,6,37,2.0,6.4,1,Master,IT,Intermédiaire,Paris,Tech,ETI,123800.0
26,0,1,39,3.0,,0,Bac,IT,Intermédiaire,Autres,Santé,Grande Entreprise,50500.0
38,6,3,39,2.0,5.9,0,Licence,RH,Junior,Marseille,Santé,PME,49500.0
39,5,8,38,9.0,7.4,1,Doctorat,R&D,Senior,Lyon,Finance,Grande Entreprise,207800.0
26,0,5,41,4.0,4.8,0,Master,IT,Junior,Paris,Tech,Grande Entreprise,81300.0
43,6,8,38,6.0,6.9,0,Doctorat,R&D,Senior,Paris,Santé,PME,178500.0
22,0,3,40,0.0,5.3,0,Licence,Finance,Junior,Autres,Tech,PME,43000.0
29,3,3,35,3.0,4.4,0,Licence,IT,Junior,Paris,Tech,Grande Entreprise,85000.0
29,2,0,39,2.0,3.9,1,Bac,R&D,Junior,Autres,Industrie,ETI,35100.0
27,2,1,41,2.0,4.6,0,Bac,Finance,Intermédiaire,Paris,Finance,PME,81400.0
30,1,3,35,1.0,4.7,0,Licence,Ventes,Junior,Paris,Tech,PME,55900.0
34,3,6,38,1.0,6.0,1,Master,IT,Junior,Paris,Santé,Startup,71500.0
40,7,4,37,2.0,6.7,3,Master,RH,Senior,Toulouse,Tech,Grande Entreprise,131600.0
31,0,3,35,3.0,4.8,0,Licence,IT,Junior,Paris,Services,Grande Entreprise,48300.0
36,5,4,53,7.0,7.8,2,Master,R&D,Manager,Paris,Finance,Startup,237700.0
45,5,0,36,1.0,6.0,1,Bac,Finance,Intermédiaire,Toulouse,Industrie,ETI,78900.0
